Stock,Model,RMSE,MAE,R2,MAPE
AAPL,Random Forest,25.722603951653376,22.81941499008675,-3.798731827615521,14.096828997538271
AAPL,Gradient Boosting,27.570915137691816,24.87552698463701,-4.513139498344581,15.41744122883415
AAPL,XGBoost,28.63880659385994,26.051910349948347,-4.9484861070361434,16.17620259125121
AAPL,Voting Ensemble,27.29798512987108,24.582284108224034,-4.40452841092123,15.230157605874542
AAPL,LSTM,15.786654767279478,14.468023962072426,-1.0661813985514481,8.932139342117363
AAPL,Transformer,18.789211772144203,16.675282238109695,-1.9268828962775162,10.227128899568969
AMZN,Random Forest,233.41573575721782,188.05366460055083,-1.802127282566615,16.941567133985917
AMZN,Gradient Boosting,236.13762108589492,190.75760030476042,-1.8678601187906714,17.200501607356948
AMZN,XGBoost,235.08856671923846,187.72766264608083,-1.8424354671662733,16.876580379446672
AMZN,Voting Ensemble,234.85170300756826,188.8449529254576,-1.8367105555084926,17.00605552701921
AMZN,LSTM,190.38533313326593,160.1211392569327,-1.0058549985487844,14.442249016130365
AMZN,Transformer,219.0336065656793,188.46123841981628,-1.6549360648329032,17.097400849084938
MSFT,Random Forest,13.627891256971356,10.877750423553742,-1.7859927053926081,13.496229583582014
MSFT,Gradient Boosting,13.769349363660487,11.019217106852308,-1.8441303350521543,13.679719971525017
MSFT,XGBoost,14.00681731624417,11.275668988818966,-1.9430767295213145,14.017188999287688
MSFT,Voting Ensemble,13.80069490189626,11.057173634889905,-1.8570942403832107,13.730469771354967
MSFT,LSTM,8.196724163511112,6.334457591288798,-0.08987755830110866,7.742804392503853
MSFT,Transformer,10.724894966442957,8.746964207554722,-0.8658776581028698,10.809157336502349
GOOGL,Random Forest,157.13829859673234,133.65333315722125,-2.5375969611936897,13.076411986479094
GOOGL,Gradient Boosting,160.57414512604046,137.4587832191877,-2.693988135557081,13.466253202641902
GOOGL,XGBoost,158.00670023999572,134.73323031338776,-2.5768050176815676,13.189818091553226
GOOGL,Voting Ensemble,158.5580922624232,135.27581633698287,-2.601812349091463,13.243450927599648
GOOGL,LSTM,113.48716711367867,100.05895718961149,-1.0779639324710453,9.78752006355386
GOOGL,Transformer,124.63393514426569,104.0078080900725,-1.5062079871135814,10.072119837936851
JPM,Random Forest,9.547172207456708,6.295126896980407,-0.23222932557743636,6.075219743855291
JPM,Gradient Boosting,9.651493194870355,6.546822799018451,-0.2593053412354853,6.35648235004014
JPM,XGBoost,10.312742809377655,7.169148079107615,-0.43777325825455016,6.97200925473232
JPM,Voting Ensemble,9.821672005326114,6.641570169092576,-0.30410596488024244,6.435166529803962
JPM,LSTM,7.9676270265923685,5.692348188795484,0.1954597353027273,5.521887341683826
JPM,Transformer,8.850104700189224,6.258280507680533,0.00737180005191751,6.065037091008916
